name,sic,cityba,afs,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockValue,IncomeTaxExpenseBenefit,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,StockholdersEquity
fifth wall acquisition corp. i,7374,los angeles,4,348172900.0,3160020.0,1582422.0,1582422.0,,,,12778804.0,348172900.0,703804.0,348378764.0,-345000000.0,-1796342.0,-252806.0,-265686.0,,-259325.0,5000006.0
greencity acquisition corp,6770,pudong district,4,41075153.0,458678.0,,-118123.0,0.0001,203.0,,3316775.0,41075153.0,496775.0,-30782.0,4663.0,-87341.0,975040.0,-136223.0,,-1375219.0,5000001.0
greencity acquisition corp,6770,pudong district,4,41214577.0,599365.0,,473419.0,0.0001,213.0,,4431239.0,41214577.0,501239.0,41371453.0,-40595337.0,-302697.0,-2323587.0,-253637.0,,-2350259.0,5000001.0
"hamilton lane alliance holdings i, inc.",6770,conshohocken,4,277125935.0,1106924.0,76126.0,,0.0001,,,22966934.0,277125935.0,513513.0,277492506.0,-276000000.0,-1616906.0,-1877611.0,-350074.0,,-1883973.0,5000001.0
duddell street acquisition corp.,6770,hong kong,4,177820487.0,2789798.0,0.0,0.0,,311.0,,28878005.0,177820487.0,1948005.0,175000000.0,-175000000.0,0.0,-9090842.0,-672065.0,,-9090842.0,5000002.0
duddell street acquisition corp.,6770,hong kong,4,175915799.0,839590.0,147860.0,147860.0,,276.0,,23473165.0,175915799.0,248165.0,236066.0,,-88206.0,3500152.0,-250369.0,,-5590690.0,5000004.0
property solutions acquisition corp. ii,6770,new york,4,318833910.0,1828934.0,1431149.0,1266149.0,,321.0,,18793754.0,318833910.0,946911.0,318681664.0,-317000000.0,-415515.0,-396332.0,-486566.0,,-397872.0,5000006.0
fortistar sustainable solutions corp.,6770,white plains,4,260330533.0,1569971.0,,,,270.0,0.0,23309647.0,260330533.0,174647.0,260286387.0,-258750000.0,-689654.0,-312767.0,-189500.0,,-316719.0,5000008.0
martin midstream partners l.p.,5171,kilgore,4,576879000.0,154622000.0,,-4277000.0,,,977000.0,627976000.0,576879000.0,88442000.0,-601000.0,-9761000.0,6085000.0,-4101000.0,7633000.0,,,
vedanta ltd,1000,mumbai,1,24216000000.0,,,,,,,14180000000.0,,,,,,,,,,
ignyte acquisition corp.,6770,new york,4,58321132.0,818874.0,581951.0,,0.0001,222.0,,2640110.0,58321132.0,40110.0,58452090.0,-57500000.0,-395564.0,-346183.0,-198441.0,,-346493.0,5000002.0
"bm technologies, inc.",6022,wayne,4,,,,,0.0001,1000.0,1827000.0,,,,4988000.0,-117000.0,9519000.0,18889000.0,5767000.0,345000.0,,28888000.0
merida merger corp. i,6770,new york,4,130952322.0,271275.0,171540.0,,0.0001,424.0,27112.0,4121253.0,130952322.0,170510.0,,419894.0,-610924.0,-1874080.0,-661218.0,,-567927.0,5000010.0
merida merger corp. i,6770,new york,4,130740243.0,418301.0,292928.0,,0.0001,430.0,,4795180.0,130740243.0,133381.0,,380606.0,-259218.0,-886006.0,-196451.0,,-1453933.0,5000005.0
edtechx holdings acquisition corp. ii,6770,london,4,118001829.0,1273093.0,1112000.0,1112000.0,,153.0,,11829364.0,118001829.0,392964.0,117989500.0,-116725000.0,-152500.0,-303070.0,-176156.0,,-310337.0,5000007.0
edtechx holdings acquisition corp. ii,6770,london,4,117901760.0,1132154.0,924595.0,924595.0,,132.0,,9597438.0,117901760.0,415808.0,117952222.0,-116725000.0,-302627.0,1828787.0,-333791.0,,1821520.0,5000007.0
prospector capital corp.,6770,la jolla,4,8091940.0,,7647736.0,,,,,3111940.0,8091940.0,321940.0,7647736.0,,,-5000.0,,,-5000.0,4980000.0
as-ip tech inc,3728,new york,4,11231.0,11231.0,11231.0,,0.0001,21962.0,,2325509.0,11231.0,1243983.0,223808.0,0.0,-221535.0,-478691.0,-395039.0,,-13302981.0,-2314278.0
